2026-05-15 15:14:33 | INFO | paper_crawler_agent | ✓ Skip already-done source: ECCV 2024 ECVA Papers (status=released_fixed_parser, papers=6166, last_success=2026-05-15 15:12:50)
2026-05-15 15:14:33 | INFO | paper_crawler_agent | Checking source: CVPR 2025 CVF
2026-05-15 15:14:33 | INFO | paper_crawler_agent | ✓ Skip already-done source: CVPR 2025 CVF (status=released_fixed_parser, papers=2871, last_success=2026-05-15 15:13:07)
2026-05-15 15:14:33 | INFO | paper_crawler_agent | Checking source: ICCV 2025 CVF
2026-05-15 15:14:33 | INFO | paper_crawler_agent | ✓ Skip already-done source: ICCV 2025 CVF (status=released_fixed_parser, papers=2701, last_success=2026-05-15 15:13:22)
2026-05-15 15:14:33 | INFO | paper_crawler_agent | Checking source: WACV 2025 CVF
2026-05-15 15:14:38 | INFO | paper_crawler_agent | WACV 2025 CVF stable ok. papers=929 inserted=929 updated=0 skipped=0
2026-05-15 15:14:38 | INFO | paper_crawler_agent | Checking source: IJCAI 2025 Proceedings
2026-05-15 15:14:38 | INFO | paper_crawler_agent | ✓ Skip already-done source: IJCAI 2025 Proceedings (status=released_fixed_parser, papers=1279, last_success=2026-05-15 15:13:29)
2026-05-15 15:14:38 | INFO | paper_crawler_agent | Checking source: NeurIPS 2025 Proceedings
2026-05-15 15:14:38 | INFO | paper_crawler_agent | ✓ Skip already-done source: NeurIPS 2025 Proceedings (status=released_fixed_parser, papers=5823, last_success=2026-05-15 15:13:58)
2026-05-15 15:14:39 | INFO | paper_crawler_agent | Skip disabled source: KDD 2026 Research Track
2026-05-15 15:14:39 | INFO | paper_crawler_agent | Skip disabled source: ACM MM 2026 Regular Papers
2026-05-15 15:14:39 | INFO | paper_crawler_agent | Skip disabled source: SIGGRAPH 2026 Technical Papers
2026-05-15 15:14:39 | INFO | paper_crawler_agent | Run finished
2026-05-15 15:16:44 | INFO | paper_crawler_agent | Loaded 15 sources
2026-05-15 15:16:44 | INFO | paper_crawler_agent | Checking source: ECCV 2026 ECVA Papers
2026-05-15 15:16:44 | INFO | paper_crawler_agent | ✓ Skip already-done source: ECCV 2026 ECVA Papers (status=released_fixed_parser, papers=6166, last_success=2026-05-15 15:12:05)
2026-05-15 15:16:44 | INFO | paper_crawler_agent | Checking source: CVPR 2026 CVF
2026-05-15 15:16:45 | INFO | paper_crawler_agent | Checking source: ICCV 2026 CVF
2026-05-15 15:16:46 | INFO | paper_crawler_agent | Checking source: WACV 2026 CVF
2026-05-15 15:16:46 | INFO | paper_crawler_agent | ✓ Skip already-done source: WACV 2026 CVF (status=released_fixed_parser, papers=831, last_success=2026-05-15 15:12:14)
2026-05-15 15:16:46 | INFO | paper_crawler_agent | Checking source: IJCAI 2026 Proceedings
2026-05-15 15:16:47 | INFO | paper_crawler_agent | Checking source: NeurIPS 2026 Proceedings
2026-05-15 15:16:49 | INFO | paper_crawler_agent | Checking source: ECCV 2024 ECVA Papers
2026-05-15 15:16:49 | INFO | paper_crawler_agent | ✓ Skip already-done source: ECCV 2024 ECVA Papers (status=released_fixed_parser, papers=6166, last_success=2026-05-15 15:12:50)
2026-05-15 15:16:49 | INFO | paper_crawler_agent | Checking source: CVPR 2025 CVF
2026-05-15 15:16:49 | INFO | paper_crawler_agent | ✓ Skip already-done source: CVPR 2025 CVF (status=released_fixed_parser, papers=2871, last_success=2026-05-15 15:13:07)
2026-05-15 15:16:49 | INFO | paper_crawler_agent | Checking source: ICCV 2025 CVF
2026-05-15 15:16:49 | INFO | paper_crawler_agent | ✓ Skip already-done source: ICCV 2025 CVF (status=released_fixed_parser, papers=2701, last_success=2026-05-15 15:13:22)
2026-05-15 15:16:49 | INFO | paper_crawler_agent | Checking source: WACV 2025 CVF
2026-05-15 15:16:49 | INFO | paper_crawler_agent | ✓ Skip already-done source: WACV 2025 CVF (status=released_fixed_parser, papers=929, last_success=2026-05-15 15:14:38)
2026-05-15 15:16:49 | INFO | paper_crawler_agent | Checking source: IJCAI 2025 Proceedings
2026-05-15 15:16:49 | INFO | paper_crawler_agent | ✓ Skip already-done source: IJCAI 2025 Proceedings (status=released_fixed_parser, papers=1279, last_success=2026-05-15 15:13:29)
2026-05-15 15:16:50 | INFO | paper_crawler_agent | Checking source: NeurIPS 2025 Proceedings
2026-05-15 15:16:50 | INFO | paper_crawler_agent | ✓ Skip already-done source: NeurIPS 2025 Proceedings (status=released_fixed_parser, papers=5823, last_success=2026-05-15 15:13:58)
2026-05-15 15:16:50 | INFO | paper_crawler_agent | Checking source: KDD 2025 Research Track
2026-05-15 15:16:52 | INFO | paper_crawler_agent | LLMClientWeb not available, skip discovery for: KDD 2025 Research Track
2026-05-15 15:16:52 | INFO | paper_crawler_agent | KDD 2025 Research Track release status unknown: {'status': 'unknown', 'reason': 'llm_not_available', 'confidence': 0.0}
2026-05-15 15:16:52 | INFO | paper_crawler_agent | Skip disabled source: ACM MM 2026 Regular Papers
2026-05-15 15:16:52 | INFO | paper_crawler_agent | Skip disabled source: SIGGRAPH 2026 Technical Papers
2026-05-15 15:16:52 | INFO | paper_crawler_agent | Run finished
2026-05-15 15:20:31 | INFO | paper_crawler_agent | Loaded 15 sources
2026-05-15 15:20:31 | INFO | paper_crawler_agent | Checking source: ECCV 2026 ECVA Papers
2026-05-15 15:20:31 | INFO | paper_crawler_agent | ✓ Skip already-done source: ECCV 2026 ECVA Papers (status=released_fixed_parser, papers=6166, last_success=2026-05-15 15:12:05)
2026-05-15 15:20:31 | INFO | paper_crawler_agent | Checking source: CVPR 2026 CVF
2026-05-15 15:20:32 | INFO | paper_crawler_agent | Checking source: ICCV 2026 CVF
2026-05-15 15:20:34 | INFO | paper_crawler_agent | Checking source: WACV 2026 CVF
2026-05-15 15:20:34 | INFO | paper_crawler_agent | ✓ Skip already-done source: WACV 2026 CVF (status=released_fixed_parser, papers=831, last_success=2026-05-15 15:12:14)
2026-05-15 15:20:34 | INFO | paper_crawler_agent | Checking source: IJCAI 2026 Proceedings
2026-05-15 15:20:35 | INFO | paper_crawler_agent | Checking source: NeurIPS 2026 Proceedings
2026-05-15 15:20:36 | INFO | paper_crawler_agent | Checking source: ECCV 2024 ECVA Papers
2026-05-15 15:20:36 | INFO | paper_crawler_agent | ✓ Skip already-done source: ECCV 2024 ECVA Papers (status=released_fixed_parser, papers=6166, last_success=2026-05-15 15:12:50)
2026-05-15 15:20:36 | INFO | paper_crawler_agent | Checking source: CVPR 2025 CVF
2026-05-15 15:20:36 | INFO | paper_crawler_agent | ✓ Skip already-done source: CVPR 2025 CVF (status=released_fixed_parser, papers=2871, last_success=2026-05-15 15:13:07)
2026-05-15 15:20:37 | INFO | paper_crawler_agent | Checking source: ICCV 2025 CVF
2026-05-15 15:20:37 | INFO | paper_crawler_agent | ✓ Skip already-done source: ICCV 2025 CVF (status=released_fixed_parser, papers=2701, last_success=2026-05-15 15:13:22)
2026-05-15 15:20:37 | INFO | paper_crawler_agent | Checking source: WACV 2025 CVF
2026-05-15 15:20:37 | INFO | paper_crawler_agent | ✓ Skip already-done source: WACV 2025 CVF (status=released_fixed_parser, papers=929, last_success=2026-05-15 15:14:38)
2026-05-15 15:20:37 | INFO | paper_crawler_agent | Checking source: IJCAI 2025 Proceedings
